Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
103;ATKR;Atkore International Group Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0476491081;;1,00;0,01;USD;05.08.2019 0:00:00
104;ATR;AptarGroup, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0383361039;;1,00;0,01;USD;18.05.2020 0:00:00
105;ATRA;Atara Biotherapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0465131078;;1,00;0,01;USD;31.10.2019 0:00:00
106;ATRI;Atrion Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0499041053;;1,00;0,01;USD;28.02.2019 0:00:00
107;ATRO;Astronics Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0464331083;;1,00;0,01;USD;04.04.2019 0:00:00
108;ATUS;Altice USA, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US02156K1034;;1,00;0,01;USD;05.08.2019 0:00:00
109;ATVI;Activision Blizzard, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00507V1098;;1,00;0,01;USD;23.11.2016 0:00:00
110;AVAV;AeroVironment, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0080731088;;1,00;0,01;USD;31.01.2019 0:00:00
111;AVB;AvalonBay Communities, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0534841012;;1,00;0,01;USD;23.11.2016 0:00:00
112;AVGO;Broadcom Inc.;Акции;Акции иностранного эмитента обыкновенные;;US11135F1012;;1,00;0,01;USD;16.04.2018 0:00:00
113;AVLR;Avalara, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US05338G1067;;1,00;0,01;USD;05.08.2019 0:00:00
114;AVNS;Avanos Medical, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US05350V1061;;1,00;0,01;USD;11.06.2019 0:00:00
115;AVY;Avery Dennison Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0536111091;;1,00;0,01;USD;23.11.2016 0:00:00
